Training Logs for vgg_a with lr=0.0005
============================================================
Epoch	Train Loss	Val Loss	Train Acc	Val Acc
1	2.301805	1.350756	35.72%	50.50%
2	2.292705	0.955925	60.50%	66.28%
3	2.468539	0.856564	70.91%	70.68%
4	2.313008	0.745639	77.28%	74.53%
5	2.300994	0.700686	82.35%	76.56%
6	2.301262	0.752903	86.54%	76.64%
7	2.302224	0.801632	90.13%	76.70%
8	2.301966	0.794800	92.83%	77.62%
9	2.302610	0.898427	94.61%	77.75%
10	2.301539	1.002423	95.46%	77.54%
11	2.304341	1.033438	96.54%	77.17%
12	2.301476	1.044193	96.94%	77.48%
13	2.302076	1.062207	97.47%	77.58%
14	2.300153	1.084249	97.44%	77.89%
15	2.299464	1.192025	97.97%	77.08%
16	2.295080	1.210341	98.13%	77.91%
17	2.286700	1.251044	98.23%	77.55%
18	2.280434	1.138484	98.11%	77.73%
19	2.264640	1.194060	98.23%	76.77%
20	2.205859	1.184507	98.48%	78.46%
