Training Logs for vgg_a with lr=0.002
============================================================
Epoch	Train Loss	Val Loss	Train Acc	Val Acc
1	2.302620	1.697382	21.31%	33.12%
2	4.355123	1.416441	39.46%	46.25%
3	2.305609	1.223715	51.11%	54.26%
4	2.303194	1.166027	58.75%	57.22%
5	2.304843	1.009965	64.11%	64.15%
6	2.301844	0.962142	67.56%	66.56%
7	2.304775	0.923631	70.65%	68.27%
8	2.303060	0.910336	73.14%	68.65%
9	2.300367	0.919758	75.25%	70.11%
10	2.307082	0.913407	77.51%	70.19%
11	2.301281	0.925484	79.23%	70.13%
12	2.298830	0.896601	80.44%	71.59%
13	2.303802	0.919902	82.21%	71.27%
14	2.297992	0.931695	83.86%	71.55%
15	2.305295	1.016221	85.09%	71.43%
16	2.306648	1.022874	86.45%	72.32%
17	2.297369	1.089975	87.32%	71.61%
18	2.305124	1.116321	88.48%	71.44%
19	2.299523	1.168651	89.51%	71.14%
20	2.305219	1.151141	90.72%	71.64%
