Training Logs for vgg_a_bn with lr=0.002
============================================================
Epoch	Train Loss	Val Loss	Train Acc	Val Acc
1	2.696890	1.560293	26.85%	39.83%
2	6.883403	1.089346	54.74%	60.92%
3	4.262409	0.938774	68.00%	68.48%
4	4.408167	0.798916	75.48%	72.97%
5	3.143590	0.819350	79.80%	73.94%
6	4.081489	0.664855	83.66%	78.48%
7	2.676651	0.684632	86.76%	78.01%
8	2.997249	0.615644	89.43%	80.67%
9	2.738669	0.659648	91.62%	80.92%
10	2.591001	0.696975	93.36%	80.01%
11	2.400896	0.711499	95.12%	81.73%
12	2.351463	0.708882	95.78%	81.93%
13	2.487938	0.824955	96.71%	81.42%
14	2.344977	0.750062	96.96%	82.54%
15	2.468845	0.801432	97.55%	82.29%
16	2.399071	0.789707	97.72%	82.31%
17	2.373219	0.887947	98.06%	81.38%
18	2.305761	0.793096	98.05%	82.97%
19	2.280649	0.876402	98.34%	82.28%
20	2.318088	1.063554	98.36%	80.87%
