Training Logs for vgg_a_bn with lr=0.0001
============================================================
Epoch	Train Loss	Val Loss	Train Acc	Val Acc
1	2.602547	1.143083	56.86%	59.63%
2	2.166128	0.971406	72.17%	67.05%
3	2.187792	0.849716	80.55%	71.66%
4	2.053436	0.917901	87.19%	71.67%
5	2.053843	1.085117	91.77%	70.33%
6	1.895509	1.318514	94.31%	67.55%
7	1.913009	1.093824	95.28%	73.07%
8	1.850748	1.229332	96.74%	72.51%
9	1.932143	1.291891	96.96%	72.65%
10	1.962343	1.298938	97.31%	72.14%
11	1.755855	1.236758	97.46%	74.23%
12	1.903373	1.276298	97.68%	74.79%
13	1.856073	1.321377	97.91%	72.60%
14	1.900332	1.361049	97.89%	73.07%
15	1.781676	1.290482	98.16%	74.45%
16	1.788355	1.254570	98.20%	74.56%
17	1.716151	1.330408	98.50%	74.85%
18	1.698509	1.417314	98.35%	74.47%
19	1.651858	1.312151	98.26%	73.96%
20	1.656074	1.280858	98.52%	75.60%
