Training Logs for vgg_a with lr=0.001
============================================================
Epoch	Train Loss	Val Loss	Train Acc	Val Acc
1	2.302724	1.520684	27.68%	39.32%
2	2.318562	1.125505	51.51%	59.46%
3	2.303931	0.933409	64.54%	67.12%
4	2.303726	0.826599	71.28%	71.74%
5	2.302221	0.790539	76.00%	73.70%
6	2.294048	0.780493	79.51%	74.34%
7	2.338259	0.763623	82.67%	75.13%
8	2.288112	0.770675	85.57%	76.32%
9	2.291476	0.796065	87.66%	77.24%
10	2.296935	0.866922	89.34%	75.16%
11	2.283871	0.871240	91.25%	76.20%
12	2.273688	0.980764	92.70%	76.13%
13	2.224275	0.918519	93.49%	76.62%
14	2.369494	1.089819	94.07%	75.45%
15	2.260266	1.124846	95.11%	75.32%
16	2.291576	1.128501	95.32%	75.60%
17	2.298875	1.107412	95.92%	75.49%
18	2.302415	1.222396	96.49%	74.75%
19	2.303874	1.297868	96.42%	76.53%
20	2.304699	1.263570	97.00%	76.36%
