Training Logs for vgg_a_bn with lr=0.001
============================================================
Epoch	Train Loss	Val Loss	Train Acc	Val Acc
1	2.665075	1.086246	50.05%	61.08%
2	3.476840	0.795571	70.21%	72.13%
3	3.046627	0.687801	77.56%	76.91%
4	2.527834	0.656196	81.70%	78.71%
5	2.292125	0.714031	85.49%	77.04%
6	2.349131	0.721518	88.42%	78.50%
7	2.090043	0.724632	90.63%	79.11%
8	2.146050	0.654670	92.88%	80.51%
9	2.067296	0.843592	94.23%	78.40%
10	2.018576	0.695787	95.37%	81.82%
11	1.990876	0.867101	96.30%	79.60%
12	2.075114	0.721347	96.92%	82.41%
13	1.904309	0.791375	97.39%	82.05%
14	1.948937	0.796132	97.85%	82.58%
15	1.975053	0.852527	97.95%	82.46%
16	1.957856	0.811554	97.92%	82.90%
17	1.895810	0.968155	98.29%	82.07%
18	1.938917	0.871541	98.46%	82.57%
19	1.916964	0.814602	98.50%	82.87%
20	1.875422	0.805849	98.48%	83.11%
